legacy_table,module_id,prisma_model,mapping_status,notes
HRCustodyReceiveH,M9,,missing_hr,
HRDeductionPolicyD,M9,,missing_hr,
HRDeductionPolicyH,M9,,missing_hr,
HRDeductions,M9,,missing_hr,
HRDepartment,M9,,missing_hr,
HRDocType,M9,,missing_hr,
HRDocument,M9,,missing_hr,
HRDocumentsApprovementD,M9,,missing_hr,
HRDocumentsApprovementH,M9,,missing_hr,
HREmployeeAddition,M9,,missing_hr,
HREmployeeAllowance,M9,,missing_hr,
HREmployeeAnnualVacation,M9,,missing_hr,
HREmployeeAnnualVacationPayment,M9,,missing_hr,
HREmployeeContractD1,M9,,missing_hr,
HREmployeeContractD2,M9,,missing_hr,
HREmployeeContractD3,M9,,missing_hr,
HREmployeeContractH,M9,,missing_hr,
HREmployeeD1,M9,,missing_hr,
HREmployeeD2,M9,,missing_hr,
HREmployeeD3,M9,,missing_hr,
HREmployeeD4,M9,,missing_hr,
HREmployeeD5,M9,,missing_hr,
HREmployeeDeduction,M9,,missing_hr,
HREmployeeEndOfWork,M9,,missing_hr,
HREmployeeEndOfWorkMoney,M9,,missing_hr,
HREmployeeEndOfWorkPayment,M9,,missing_hr,
HREmployeeEndWork,M9,,missing_hr,
HREmployeeEvaluation,M9,,missing_hr,
HREmployeeEvaluationD1,M9,,missing_hr,
HREmployeeExtraditionCustody,M9,,missing_hr,
HREmployeeExtraditionCustodyD1,M9,,missing_hr,
HREmployeeFingerPrint,M9,,missing_hr,
HREmployeeGroupD,M9,,missing_hr,
HREmployeeGroupH,M9,,missing_hr,
HREmployeeGroups,M9,,missing_hr,
HREmployeeH,M9,Employee,mapped,
HREmployeeHousingMoney,M9,,missing_hr,
HREmployeeHousingPayment,M9,,missing_hr,
HREmployeeLate,M9,,missing_hr,
HREmployeeLoan,M9,,missing_hr,
HREmployeeMonthAbsenseD,M9,,missing_hr,
HREmployeeMonthAbsenseH,M9,,missing_hr,
HREmployeeMonthActionD,M9,,missing_hr,
HREmployeeMonthActionH,M9,,missing_hr,
HREmployeeMonthSalaryD,M9,,missing_hr,
HREmployeeMonthSalaryD1,M9,,missing_hr,
HREmployeeMonthSalaryD2,M9,,missing_hr,
HREmployeeMonthSalaryH,M9,,missing_hr,
HREmployeeMonthSalaryPaymentD,M9,,missing_hr,
HREmployeeMonthSalaryPaymentH,M9,,missing_hr,
HREmployeePic,M9,,missing_hr,
HREmployeeReceiveCustody,M9,,missing_hr,
HREmployeeReceiveCustodyD1,M9,,missing_hr,
HREmployeeSecondment,M9,,missing_hr,
HREmployeeShiftD,M9,,missing_hr,
HREmployeeShiftH,M9,,missing_hr,
HREmployeeStopOfWork,M9,,missing_hr,
HREmployeeThanking,M9,,missing_hr,
HREmployeeTraining,M9,,missing_hr,
HREmployeeTransfer,M9,,missing_hr,
HREmployeeUpgrade,M9,,missing_hr,
HREmployeeWarning,M9,,missing_hr,
HREmployeeWorkDaysD,M9,,missing_hr,
HREmployeeWorkDaysH,M9,,missing_hr,
HREmployeeWorkShifts,M9,,missing_hr,
HREndServicePolicyD,M9,,missing_hr,
HREndServicePolicyH,M9,,missing_hr,
HREvaluationSteps,M9,,missing_hr,
HRGroups,M9,,missing_hr,
HRGroupsWorkDays,M9,,missing_hr,
HRHiddenScreen,M9,,missing_hr,
HRHousingAllowancePolicyD,M9,,missing_hr,
HRHousingAllowancePolicyH,M9,,missing_hr,
HRIncrementsPolicyD,M9,,missing_hr,
HRIncrementsPolicyH,M9,,missing_hr,
HRJobLevels,M9,,missing_hr,
HRJobs,M9,,missing_hr,
HRJobsNames,M9,,missing_hr,
HRLatePolicyD,M9,,missing_hr,
HRLatePolicyH,M9,,missing_hr,
HRLoanPaymentH,M9,,missing_hr,
HRLoanReceiveH,M9,,missing_hr,
HRNationalities,M9,,missing_hr,
HRNationality,M9,,missing_hr,
HROverDaysPolicyD,M9,,missing_hr,
HROverDaysPolicyH,M9,,missing_hr,
HROverHoursPolicyD,M9,,missing_hr,
HROverHoursPolicyH,M9,,missing_hr,
HRPartion,M9,,missing_hr,
HRProjects,M9,,missing_hr,
HRQualification,M9,,missing_hr,
HRQualifications,M9,,missing_hr,
HRRecordAllowanceH,M9,,missing_hr,
HRRecordManualAttendanceH,M9,,missing_hr,
HRRecordVacationH,M9,,missing_hr,
HRRegisterEmployeeAnnualVacation,M9,,missing_hr,
HRReligion,M9,,missing_hr,
HRReligions,M9,,missing_hr,
HRRestartWork,M9,,missing_hr,
HRSalaryPolicyD1,M9,,missing_hr,
HRSalaryPolicyD2,M9,,missing_hr,
